Product	water	lipid	TVBN	TMA	salt	phenol	pH	total viable count	lactic flora	lactobacilli	brochothrix	yeast	enterobacteriaceae	L	a	b	origin
prod17_Fr	-0,3228	-0,5623	-0,3635	-0,8717	1,5559	-0,6628	-1,4418	-0,3769	-0,4776	-1,0624	-0,7559	-1,034	-0,6266	0,1846	0,3111	0,2349	France
prod18_UK	-0,5563	0,3665	2,033	2,1085	-1,076	1,0483	-0,116	0,6098	0,8165	-1,0624	0,4217	0,0682	0,0216	-0,7728	0,7864	0,2931	UK
prod19_UK	1,1131	-2,4628	1,2342	0,3204	0,0077	1,489	0,7126	0,9992	1,2062	1,1989	2,4632	0,2875	1,547	-0,2587	0,2626	0,8976	UK
prod20_Dk	-0,3675	1,6251	-0,7629	-0,8717	-0,1471	0,0631	-1,2761	-0,8152	-0,1654	0,2839	-0,7559	0,9324	-1,5793	1,5224	-1,3598	-1,3411	DK
prod21_UK	-1,2072	0,5709	0,8348	0,3204	-0,6115	-1,2073	-1,4418	1,0168	0,3479	0,4541	1,3957	0,2341	0,0109	2,5982	-3,9939	-1,8277	UK
prod22_Fr	-0,9985	0,5529	1,4339	1,2144	-0,6889	0,0631	-0,4475	0,6157	0,8681	1,0535	1,1371	0,5504	0,5577	0,1901	-0,0805	0,3227	France
prod23_Ger	2,0273	-1,5341	-0,3635	-0,8717	0,9366	-0,2221	-0,4475	-0,0665	-1,5861	-1,0624	-0,7559	-1,034	-1,5793	1,0328	-0,3553	-0,4847	Germany
prod24_Dk	0,4821	0,431	-0,3635	-0,2757	-0,9212	-0,6369	1,3755	0,4494	-1,5861	-1,0624	-0,7559	-1,034	0,0508	0,5514	-0,5153	-1,492	DK
prod25_Bel	0,4622	-0,0853	2,6322	2,4065	-1,3856	-0,8443	-1,2761	1,0223	0,8165	1,2312	-0,7559	0,2875	-0,1055	-1,6298	0,7578	0,4104	Belgium
prod26_UK	0,7554	-1,2472	0,4354	0,6184	-0,6115	-1,1813	2,0384	1,0932	0,8362	0,0909	0,9443	-1,034	1,4803	-0,8136	0,5383	-0,0762	UK
prod27_Fr	-0,924	0,3665	-0,0439	-0,1892	0,0077	-0,9739	1,0441	0,3376	0,7697	0,5204	1,7156	1,9679	1,6472	-0,3829	0,3803	-0,0363	France
prod28_Bel	-0,0048	0,5781	1,8333	2,1085	-1,3856	-0,7406	0,0497	1,1384	0,8491	1,2539	0,5758	1,1315	0,6682	-1,0399	0,4114	0,2132	Belgium
prod29_Scot	-0,1439	-0,4439	-0,7629	-0,8717	2,4848	0,4001	-1,1104	-2,5977	-1,5861	-1,0624	-0,7559	-1,034	-1,5793	-1,2488	0,6412	0,178	Scotland
prod30_Bel	0,03	0,6677	0,2357	1,2144	-0,6115	3,4593	-0,6132	1,0558	0,9539	0,9302	0,8767	0,6964	0,3051	0,1036	-0,8857	-0,5929	Belgium
